productId,sku,risk,apply_query,chosen_in_apply,apply_source_hosts,apply_source_urls,last_saved_source,dq_backfilled,dq_rollback,baseline_title,current_title,baseline_brand,current_brand,baseline_category,current_category,baseline_barcode,current_identifiers,current_barcodes,diffs
SKU-4919757592,SKU-4919757592,LOW,Flanellhemd Flanellhemd Hemd Herren Blau Gr. L 100% Baumwolle EAN,7330509907467,www.gs-workfashion.de,https://www.gs-workfashion.de/3288-Blaklaeder-Flanellhemd-100-Baumwolle/3288-1168.5986.M,barcode-rollback,7330509907467,7330509907467,Flanellhemd Hemd Herren Blau Gr. L 100% Baumwolle NEU Neu mit Etikett Fashion,Flanellhemd Hemd Herren Blau Gr. L 100% Baumwolle NEU Neu mit Etikett Fashion,Flanellhemd,Flanellhemd,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Freizeithemden & Shirts,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Freizeithemden & Shirts,,,,
SKU-6148008788,SKU-6148008788,LOW,TPE YOGA TPE YOGA Yogamatten Grün TPE NEU Gr. 61 EAN,4067628358643,www.pro-discount-werbeartikel.de,https://www.pro-discount-werbeartikel.de/Virabha-Yogamatte-aus-recyceltem-TPE-121930?number=CPO12703761,barcode-rollback,4067628358643,4067628358643,TPE YOGA Yogamatten Grün TPE NEU Gr. 61 cm Rutschfest Gelenkschonend Pilates,TPE YOGA Yogamatten Grün TPE NEU Gr. 61 cm Rutschfest Gelenkschonend Pilates,TPE YOGA,TPE YOGA,Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten,Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten,,,,
SKU-6614383452,SKU-6614383452,LOW,Leonardo Leonardo Karaffe Swing Transparent Glas NEU Gr. ca. EAN,4002541707154,www.leonardo.de,https://www.leonardo.de/products/krug-swing-1200-ml-070715,barcode-rollback,4002541707154,4002541707154,Leonardo Karaffe Swing Transparent Glas NEU Gr. ca. 21 cm 1.2L Eleganz,Leonardo Karaffe Swing Transparent Glas NEU Gr. ca. 21 cm 1.2L Eleganz,Leonardo,Leonardo,"Business & Industrie > Gastro & Nahrungsmittelgewerbe > Bar- & Ausschankausstattung > Gastronomie-Kaffee-, Kakao- & Teeausstattung > Kaffee- & Teespender > Karaffen & Dekanter",Möbel & Wohnen > Kochen & Genießen > Bar & Wein-Accessoires > Dekanter,,,,category_changed
SKU-7998641824,SKU-7998641824,MED_marketplace_source,Rohema Rohema Drumsticks Premium Holz NEU Präzision Langlebigkeit Antiquitäten EAN,4250503844465,www.ebay.de,https://www.ebay.de/itm/166933398406?srsltid=AfmBOorujEcNDD3HrA8HGwpn9LVxa9-I-JxQiUeeVnQZC38j5AC-Oqji,barcode-rollback,4250503844465,4250503844465,Rohema Drumsticks Premium Holz NEU Präzision Langlebigkeit Antiquitäten,Rohema Drumsticks Premium Holz NEU Präzision Langlebigkeit Antiquitäten,Rohema,Rohema,Antiquitäten & Kunst > Musikinstrumente > Schlaginstrumente,"Musikinstrumente > Drums & Percussion > Ersatzteile > Sticks, Besen & Schlägel",,,,category_changed
SKU-8133187753,SKU-8133187753,HIGH_brand_changed,GULNABIO GULNABIO Jersey-Spannbettlaken Rot 100x200 cm – Perfekte Passform EAN,4260525418735,www.kaufland.de,https://www.kaufland.de/product/320937500/,ui,4260525418735,4260525418735,GULNABIO Jersey-Spannbettlaken Rot 100x200 cm – Perfekte Passform & Komfort,Villa Grinario Jersey-Spannbettuch 100x200 cm Rot Baumwolle Rundumgummi NEU,GULNABIO,Villa Grinario,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken","Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken",,,,title_changed|brand_changed
SKU-9317337160,SKU-9317337160,HIGH_title_changed_marketplace_source,PAUDIN N5 PAUDIN Santokumesser Präzise Schnitte EAN,6973463100065,www.kaufland.de,https://www.kaufland.de/product/514342290/,barcode-rollback,6973463100065,6973463100065,"PAUDIN Santokumesser N5 – Präzise Schnitte, mühelos & langanhaltend scharf","PAUDIN Santokumesser N5 – Präzise Schnitte, mühelos & langanhaltend scharf NEU",PAUDIN,PAUDIN,Möbel & Wohnen > Kochen & Genießen > Küchenmesser,Möbel & Wohnen > Kochen & Genießen > Küchenmesser,,,,title_changed
SKU-9603350817,SKU-9603350817,LOW,Universal Tablet-Bodenständer mit Schwenkarm & Höhenverstellung für alle Tablets EAN,4016842829316,www.k-m.de,https://www.k-m.de/produkte/multimedia-equipment/halter/19790-tablet-pc-stativhalter-schwarz-3-8,barcode-rollback,4016842829316,4016842829316,Universal Tablet-Bodenständer mit Schwenkarm & Höhenverstellung für alle Tablets,Universal Tablet-Bodenständer mit Schwenkarm & Höhenverstellung für alle Tablets,,,"Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Schreiben & Korrigieren > Füllfederhalter","Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Schreiben & Korrigieren > Füllfederhalter",,,,
SKU-9968230318,SKU-9968230318,HIGH_title_changed_marketplace_source,HOLA KIT HKDB02 HOLA KIT Reifenreparaturset für EAN,0313049177184,www.ebay.de,https://www.ebay.de/itm/236119415035?srsltid=AfmBOorjz6eaAObFN14EVTkg99J3FY_ct7Mtqb9eoTiQDXO0lV1PkVMb,barcode-rollback,0313049177184,0313049177184,HOLA KIT Reifenreparaturset für schnelle & sichere Pannenbehebung unterwegs,HOLA KIT Reifenreparaturset für schnelle & sichere Pannenbehebung unterwegs NEU,HOLA KIT,HOLA KIT,Auto & Motorrad: Teile > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur,Auto & Motorrad: Teile > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur,,,,title_changed
a7fbf83a-10da-453f-974b-4d71c9e7e626,SKU-1848228084,MED_marketplace_source,Walex Walex Fäkalientank-Deodorant Tiefblau NEU Porta-Pak Max 50 geruchsfreie EAN,742693917998,www.ebay.de,https://www.ebay.de/itm/275504160999?srsltid=AfmBOopr0KDLtS7QYucjTjZwsUQ9Pjh1nVsTSNq5HWnMFAAGHlxfAFge|https://www.ebay.de/itm/275504160999?srsltid=AfmBOopr0KDLtS7QYucTjZwsUQ9Pjh1nVsTSNq5HWnMFAAGHlxfAFge,barcode-rollback,742693917998,742693917998,Walex Fäkalientank-Deodorant Tiefblau NEU Porta-Pak Max 50 geruchsfreie,Walex Fäkalientank-Deodorant Tiefblau NEU Porta-Pak Max 50 geruchsfreie,Walex,Walex,Sport > Camping & Outdoor > Sonstiges Camping & Outdoor,Sport > Camping & Outdoor > Sonstiges Camping & Outdoor,,,,
d2649d99-ae7a-4b45-bca9-e6c452843d93,SKU-3442148631,LOW,ToMax 72239 ToMax Tintenpatrone TM-LC-223Y Gelb EAN,4977766735926,www.tintenmarkt.de|www.alternate.de,https://www.tintenmarkt.de/LC223Y-original-Druckerpatrone-mit-einer-Kapazitaet-fuer-ca.-550-Seiten-nach-ISO/IEC-24711-gelb-7937|https://www.alternate.de/Brother/Tinte-gelb-LC-223Y/html/product/1152436?srsltid=AfmBOopmWdqQ5g76Ub9Mf7A6pz7dV5wdpQ_wPBijEMARgHaiiZZVaw75,barcode-rollback,4977766735926,4977766735926,"ToMax Tintenpatrone TM-LC-223Y Gelb für brillante, langlebige Ausdrucke","ToMax Tintenpatrone TM-LC-223Y Gelb für brillante, langlebige Ausdrucke NEU",ToMax,ToMax,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Tintenpatronen","Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Tintenpatronen",,,,title_changed
e73c69ce-6582-4454-adab-52b418a775d0,SKU-5599844775,LOW,Goffii 230404041 Goffii Montessori Lernspielzeug Bauernhof EAN,6976304907496,www.handyhuellen.berlin,https://www.handyhuellen.berlin/products/goffii-montessori-spielzeug-kinder-baby-8-in-1-holzspielzeug-bauernhof-autos-karotten-ernten-sortier-stapelspielzeug-hand-auge-koordination-motorikspielzeug-ab-3-4-5-jahr-madchen-jungen-geschenk?srsltid=AfmBOooGGO_IHg2rE3Jst6yBp9H3uH1-FjlB4R12xPgAKvzUuJm6oGoa,barcode-rollback,6976304907496,6976304907496,Goffii Montessori Lernspielzeug Bauernhof Angeln Gemüse Holz Mehrfarbig ab 3,Goffii Montessori Lernspielzeug Bauernhof Angeln Gemüse Holz Mehrfarbig ab 3 NEU,Goffii,Goffii,Spielzeug > Lernspielzeug,Spielzeug > Lernspielzeug,,,,title_changed
